"","id","sent_time","day","email_id","open_time","predicted_values","residual_values"
"140",941,1150,4,75,1172,946.912036878978,225.087963121022
"141",2308,881,5,209,1248,926.193138183705,321.806861816295
"142",1846,1131,3,11,145,950.367483670624,-805.367483670624
"143",36,1014,3,102,1076,946.340314241355,129.659685758645
"144",2107,881,5,371,1313,933.925397618125,379.074602381875
"145",727,654,2,130,1298,929.79055919861,368.20944080139
"146",1597,1131,3,30,1254,951.274353604291,302.725646395709
"147",795,961,5,268,1031,934.732694549733,96.2673054502668
"148",1097,1150,4,207,595,953.212396418135,-358.212396418135
"149",1818,1131,3,17,907,950.653863649677,-43.6538636496769
"150",217,1090,3,100,714,951.682166491749,-237.682166491749
"151",1059,1150,4,85,1404,947.389336844066,456.610663155934
"152",2040,881,5,72,979,919.654128662004,59.3458713379961
"153",523,654,2,230,727,934.563558849486,-207.563558849486
"154",24,784,3,102,846,929.885290346823,-83.8852903468228
"155",2296,881,5,286,1144,929.86834791488,214.13165208512
"156",1573,1150,4,157,1215,950.825896592697,264.174103407303
"157",286,1090,3,75,959,950.488916579029,8.51108342097056
"158",1036,1150,4,60,1339,946.196086931347,392.803913068653
"159",2009,881,5,86,949,920.322348613127,28.6776513868734
"160",939,1150,4,61,1171,946.243816927855,224.756183072145
"161",173,1090,3,188,1386,955.88240618452,430.11759381548
"162",540,654,2,238,760,934.945398821556,-174.945398821556
"163",435,1138,3,211,773,960.414288047428,-187.414288047428
"164",1834,1131,3,219,1395,960.295322944447,434.704677055553
"165",1763,1131,3,133,814,956.190543244694,-142.190543244694
"166",843,654,2,130,602,929.79055919861,-327.79055919861
"167",669,654,2,257,1145,935.852268755223,209.147731244777
"168",686,654,2,130,1147,929.79055919861,217.20944080139
"169",1073,1150,4,285,102,956.935336145819,-854.935336145819
"170",146,1138,3,44,1233,952.443378630464,280.556621369536
"171",1022,1150,4,116,1304,948.868966735837,355.131033264163
"172",1052,1150,4,60,1384,946.196086931347,437.803913068653
"173",1260,1150,4,311,1336,958.176316055047,377.823683944953
"174",1704,1131,3,306,626,964.44783264071,-338.44783264071
"175",789,1090,3,37,620,948.675176711696,-328.675176711696
"176",534,654,2,253,739,935.661348769188,-196.661348769188
"177",1060,1150,4,57,1407,946.05289694182,460.94710305818
"178",1769,1131,3,149,823,956.954223188834,-133.954223188834
"179",920,1150,4,60,1160,946.196086931347,213.803913068653
"180",657,654,2,230,945,934.563558849486,10.4364411505138
"181",1171,1150,4,224,791,954.023806358784,-163.023806358784
"182",2143,881,5,86,666,920.322348613127,-254.322348613127
"183",1775,1131,3,334,861,965.784272542955,-104.784272542955
"184",2093,881,5,86,1132,920.322348613127,211.677651386873
"185",1308,1150,4,76,987,946.959766875487,40.0402331245131
"186",1306,1150,4,76,951,946.959766875487,4.04023312451313
